Id,Start time,Completion time,Email,Name,age,gender,tiktok_time,ad_recognition,ad_acknowledgment,ad_misled,skip_speed,skip_immediately,skip_drivers,watch_drivers,ad_as_regular_content,ad_engagement,statement,"Describe a TikTok ad you remember positively. How did you feel when you realized it was an ad, and what made it stand out?",Describe a TikTok ad you remember negatively. What made it stand out?
21,05/05/2025 21:05,05/05/2025 21:09,anonymous,,18 - 19,Female,1 - 2 hours,I sometimes realize only after watching that a video is an ad;Content feels overly promotional,Always,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Often,Irrelevant topic – product/brand does not concern my interests;Feels like a hard sell – the ad is too aggressive;Length – the ad is too long,Influencer or creator I trust/follow,"Yes, occasionally",I rarely engage with ads,5,Don't remember any ads,Don't remember any ads
22,05/07/2025 14:07,05/07/2025 14:11,anonymous,,23 - 25,Female,1 - 2 hours,I sometimes realize only after watching that a video is an ad,Often,"No, I don’t feel misled.",Watch for a few seconds before skipping,Sometimes,Irrelevant topic – product/brand does not concern my interests,Useful or relevant product information,No,I rarely engage with ads,4,"Probably Duolingo ad- just funny content, made that way that it stood out",No recollection of a negative ad
23,05/07/2025 14:16,05/07/2025 14:20,anonymous,,23 - 25,Male,Less than 30 minutes,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"")",Sometimes,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Often,I skip all ads automatically,"Entertaining content (humour, visuals)","Yes, occasionally",I rarely engage with ads,5,"KFC.es funny, all ads with tung tung tung sahur",Pushy call to action 
24,05/07/2025 14:23,05/07/2025 14:32,anonymous,,23 - 25,Female,1 - 2 hours,"I sometimes realize only after watching that a video is an ad;I rarely notice the difference between ads and regular content;""Sponsored"" label",Sometimes,"No, I don’t feel misled.",Watch for a few seconds before skipping,Rarely,Length – the ad is too long;Poor creativity,"Interesting story or narrative;Influencer or creator I trust/follow;Entertaining content (humour, visuals)","Yes, frequently",Authentic creator presentation;Humour/entertainment value;Useful product info,5,Skincare ad. The personal storytelling and humour.,Ad for a mobile game. It was poor quality. Nothing special. It didnt make me trust. 
25,05/07/2025 14:38,05/07/2025 14:53,anonymous,,23 - 25,Female,Less than 30 minutes,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional",Often,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;Irrelevant topic – product/brand does not concern my interests,"Entertaining content (humour, visuals);Useful or relevant product information;Influencer or creator I trust/follow",No,Humour/entertainment value;Content featuring influencers I follow,5,"Gabbriette for MAC cosmetics. I knew it was an ad, it was really cool that’s why I watched it to the end. Cool person=cool products and collaborations. (only when it fits their aesthetic etc. ofc)","Temu, shein etc. I hate these kind of platforms I don’t know why I see these their ads."
26,05/07/2025 15:22,05/07/2025 15:27,anonymous,,23 - 25,Female,1 - 2 hours,"""Sponsored"" label;Content feels overly promotional;Unusual call-to-action (e.g., ""Shop now"")",Sometimes,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Often,Feels like a hard sell – the ad is too aggressive;Repetitive content – the ad looks similar to others I’ve seen;Poor creativity;Irrelevant topic – product/brand does not concern my interests,Interesting story or narrative;Useful or relevant product information,"Yes, occasionally","Incentives (discounts, giveaways)",1,"It was an ad for a bag, nicely shot and the price was appealing ",A story time about sth some wedding where a girl was describing reactions that she got from her family to her new look at the end it turned out to be an ad for some fat burning tea or sth felt misleading cos I thought that I was watching just a story time bout some random event now I think that it was made up just to be an ad 
27,05/07/2025 16:10,05/07/2025 16:14,anonymous,,20 - 22,Female,1 - 2 hours,"Unusual call-to-action (e.g., ""Shop now"");""Sponsored"" label;Content feels overly promotional",Often,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Often,I skip all ads automatically,"Entertaining content (humour, visuals);Useful or relevant product information;Influencer or creator I trust/follow","Yes, occasionally",I rarely engage with ads,4,I can’t think of a tiktok ad as i always skip them.,I can’t think of an ad that stood out
28,05/07/2025 16:17,05/07/2025 16:23,anonymous,,20 - 22,Female,More than 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");I sometimes realize only after watching that a video is an ad",Often,"No, I don’t feel misled.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;Repetitive content – the ad looks similar to others I’ve seen,Influencer or creator I trust/follow,"Yes, occasionally",Content featuring influencers I follow;Authentic creator presentation,4,"There’s this girl from my home country that lives in the US and occasionally makes ads about products/brands she has used for years. I always remember hers positively, her content is very authentic and informative","The ads I remember negatively are always the mobile game ones. They’re loud, clickbait-style and have over the top acting. "
29,05/07/2025 16:19,05/07/2025 16:24,anonymous,,20 - 22,Female,1 - 2 hours,"""Sponsored"" label;Content feels overly promotional",Sometimes,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,Repetitive content – the ad looks similar to others I’ve seen;Length – the ad is too long,Influencer or creator I trust/follow;Emotional connection or appeal,"Yes, occasionally",Relatable content;Content featuring influencers I follow,2,"Adds specially that show new movie trailers or series announcement are really entertaining. Also, other adds where the product is shown in a really organic way are also fun to watch.","There are a bunch of Tik Tok videos going around as short movies. They are adds for a app that serves as a media platform (like Netflix etc). The adds sometimes are inappropriate and extremely bad, so I always get pissed off while scrolling and finding one. It’s too repetitive and it’s not the type of content I like to see, completely out of my algorithm."
30,05/07/2025 16:42,05/07/2025 16:45,anonymous,,20 - 22,Male,30 minutes to 1 hour,"Content feels overly promotional;Unusual call-to-action (e.g., ""Shop now"");""Sponsored"" label",Always,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Often,Irrelevant topic – product/brand does not concern my interests;Repetitive content – the ad looks similar to others I’ve seen;Feels like a hard sell – the ad is too aggressive,Emotional connection or appeal;Influencer or creator I trust/follow;Interesting story or narrative,No,I rarely engage with ads,4,I don't think I recall seeing such an ad.,The ad had too many visual effects that ruined the appeal of the product.
31,05/07/2025 16:42,05/07/2025 16:52,anonymous,,18 - 19,Female,30 minutes to 1 hour,Content feels overly promotional;I sometimes realize only after watching that a video is an ad,Sometimes,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically,Emotional connection or appeal,"Yes, occasionally",I rarely engage with ads,2,A tiktok about a travel destination - it stood out because it was something i was interested in it,"Annoying music, too loud, annoying humour "
32,05/07/2025 17:27,05/07/2025 17:38,anonymous,,20 - 22,Male,1 - 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional",Always,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,Irrelevant topic – product/brand does not concern my interests;Repetitive content – the ad looks similar to others I’ve seen;Lack of emotional appeal – the ad does not evoke any emotions;Poor creativity,Influencer or creator I trust/follow;Interesting story or narrative,No,Relatable content;Humour/entertainment value,5,"I can’t remember the exact product that was advertised, but the ad wasn’t engaging and it was narrating a story about pets and perhaps how they experience their lives when nobody is at home. It was really interesting although it felt like a strange content unusual for TikTok I realised the last second it was an add. ","Any ad that is poorly innovative, the lack of creativity is making me hate the product even though I could be familiar with or interested in the product. "
33,05/07/2025 17:36,05/07/2025 17:43,anonymous,,20 - 22,Female,1 - 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional",Often,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Often,Feels like a hard sell – the ad is too aggressive;Length – the ad is too long,Useful or relevant product information,"Yes, occasionally",Authentic creator presentation;Relatable content;Useful product info,5,"All the information about the product was in the video - prices, what it does, how it helps; the ad was short",It didn’t give much information about the product and it was way too long 
34,05/07/2025 21:17,05/07/2025 21:19,anonymous,,20 - 22,Female,30 minutes to 1 hour,"""Sponsored"" label;Content feels overly promotional",Often,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically,"Entertaining content (humour, visuals)","Yes, occasionally",I rarely engage with ads,5,"If it's done creatively or a sponsored ad from a creator I like, I will feel more compelled to watch","Too aggressively advertising, too ""on the nose"", or products that are simply not relevant for me. I always skip ads that pop up frequently (such as Dominoes pizza, etc)"
35,05/07/2025 22:33,05/07/2025 22:53,anonymous,,20 - 22,Female,30 minutes to 1 hour,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"")",Rarely,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Often,Length – the ad is too long;Feels like a hard sell – the ad is too aggressive,"Entertaining content (humour, visuals);Influencer or creator I trust/follow;Useful or relevant product information",No,Relatable content;Useful product info,4,It’s like a normal tik tok,It looks like ad in tv 
36,05/07/2025 22:57,05/07/2025 23:01,anonymous,,23 - 25,Female,Less than 30 minutes,"""Sponsored"" label",Often,"No, I don’t feel misled.",Immediately once I realize it’s an ad,Always,I skip all ads automatically;Repetitive content – the ad looks similar to others I’ve seen;Length – the ad is too long,Influencer or creator I trust/follow;Interesting story or narrative;Useful or relevant product information,No,I rarely engage with ads,3,im always getting very annoyed with ads,I don't remember negative ads because I skip them immediately 
37,05/07/2025 23:39,05/07/2025 23:42,anonymous,,18 - 19,Non-binary / Third gender,Less than 30 minutes,"""Sponsored"" label",Always,"No, I don’t feel misled.",Watch the full ad,Always,Lack of emotional appeal – the ad does not evoke any emotions,"Entertaining content (humour, visuals)","Yes, occasionally",Useful product info,3,"temu, because of free things","tarczy?ski, I dont eat meat "
38,05/08/2025 11:06,05/08/2025 11:11,anonymous,,20 - 22,Male,1 - 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional",Often,"No, I don’t feel misled.",Watch for a few seconds before skipping,Often,Irrelevant topic – product/brand does not concern my interests;Length – the ad is too long;Poor creativity,"Entertaining content (humour, visuals);Influencer or creator I trust/follow","Yes, occasionally",Humour/entertainment value;Authentic creator presentation;Relatable content,4,A creator I follow did a skincare routine and casually mentioned a product. I didn’t mind it was an ad,Temu ads - they appear quite often.
39,05/08/2025 11:11,05/08/2025 11:17,anonymous,,23 - 25,Male,More than 2 hours,"Content feels overly promotional;Unusual call-to-action (e.g., ""Shop now"")",Sometimes,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Always,Irrelevant topic – product/brand does not concern my interests;Feels like a hard sell – the ad is too aggressive;Poor creativity;I skip all ads automatically,Interesting story or narrative,No,"Humour/entertainment value;Incentives (discounts, giveaways)",5,An ad informing about compensations for flights delayed.,Shopify ad cause they try to convince people in an intrusive way.
40,05/08/2025 11:17,05/08/2025 11:22,anonymous,,23 - 25,Male,30 minutes to 1 hour,"""Sponsored"" label;Content feels overly promotional",Rarely,"Yes, I feel misled and it negatively affects my perception of the ad.",Watch for a few seconds before skipping,Sometimes,Repetitive content – the ad looks similar to others I’ve seen;Feels like a hard sell – the ad is too aggressive;Lack of emotional appeal – the ad does not evoke any emotions,Emotional connection or appeal;Useful or relevant product information,"Yes, occasionally",Relatable content;Authentic creator presentation,5,"BookBeat ad - it is an app with audiobooks, it caught my attention cause it was in a form of a quiz about one of my favourite books.",An ad with a fake prank that clearly wasn’t real. 
41,05/08/2025 11:22,05/08/2025 11:30,anonymous,,20 - 22,Male,More than 2 hours,"""Sponsored"" label;I sometimes realize only after watching that a video is an ad;Unusual call-to-action (e.g., ""Shop now"")",Sometimes,"No, I don’t feel misled.",Watch for a few seconds before skipping,Sometimes,Poor creativity;Repetitive content – the ad looks similar to others I’ve seen,Interesting story or narrative;Emotional connection or appeal;Influencer or creator I trust/follow,"Yes, frequently",Authentic creator presentation;Humour/entertainment value;Content featuring influencers I follow,4,"Clothing brand, one of my favourites, nice clothes.",Some “life hack” clickbait ad that was just selling gadgets. 
42,05/08/2025 11:32,05/08/2025 11:38,anonymous,,23 - 25,Male,Less than 30 minutes,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"")",Rarely,"Yes, but it doesn’t affect my perception of the ad.",Immediately once I realize it’s an ad,Always,Length – the ad is too long;Poor creativity;Repetitive content – the ad looks similar to others I’ve seen,"Entertaining content (humour, visuals);Influencer or creator I trust/follow","Yes, occasionally",Humour/entertainment value;Content featuring influencers I follow,3,Vinted ad promoting giving clothes a second life - I knew it was an ad.,It was an app about designing something. It is very repetitive and has flashing visuals.
43,05/08/2025 15:52,05/08/2025 16:00,anonymous,,23 - 25,Female,30 minutes to 1 hour,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional",Sometimes,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Often,I skip all ads automatically,"Entertaining content (humour, visuals);Interesting story or narrative","Yes, occasionally",I rarely engage with ads,4,I don't remember,I don't remember
44,05/09/2025 11:39,05/09/2025 11:49,anonymous,,23 - 25,Female,Less than 30 minutes,"""Sponsored"" label;Content feels overly promotional",Often,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,Feels like a hard sell – the ad is too aggressive;Repetitive content – the ad looks similar to others I’ve seen,"Entertaining content (humour, visuals)","Yes, occasionally",Humour/entertainment value;I rarely engage with ads,3,"Doda adds on TikTok with Dafi. It was obvious it was an add, but made with humor and distance didn’t sound pushy.","Almost all of them, every shein/temu add"
45,05/09/2025 14:23,05/09/2025 14:29,anonymous,,18 - 19,Female,More than 2 hours,"""Sponsored"" label;I sometimes realize only after watching that a video is an ad;Content feels overly promotional;Unusual call-to-action (e.g., ""Shop now"")",Sometimes,"Yes, but it doesn’t affect my perception of the ad.",Watch for a few seconds before skipping,Often,Irrelevant topic – product/brand does not concern my interests;Length – the ad is too long;Repetitive content – the ad looks similar to others I’ve seen;Feels like a hard sell – the ad is too aggressive;Poor creativity;Lack of emotional appeal – the ad does not evoke any emotions,"Useful or relevant product information;Entertaining content (humour, visuals);Influencer or creator I trust/follow;Interesting story or narrative","Yes, occasionally","Incentives (discounts, giveaways);Content featuring influencers I follow;Relatable content;Authentic creator presentation",5,"Okay sooo there was this ad by this skincare brand — but like, they didn’t even look like they were trying to sell me anything. It started with a girl crying over her breakup, and I was like “oh nooo, not again ??” but then she starts talking to the camera about how she took her self-care seriously, and suddenly she’s glowing like a glazed donut and saying “btw, this is the serum I used.”  And I’m just there like ??? ""wait… this is an ad??"" But I wasn’t even mad. It gave story, it gave emotion, it gave GLOW UP. The vibes were immaculate, and honestly? I added to cart before I even finished the video. ?? #influenced","OMG don’t even get me started—there was this one ad that was just... painful. It was like this dude screaming “BUY THIS NOW!!!” and throwing stuff around his room like a toddler on espresso. ?? No context, no chill, no aesthetic.  I sat there like ?? “sir, why are you yelling at me at 2 a.m.?” It felt like a used car salesman trapped inside a Gen Z cosplay. And the worst part? It kept popping up over and over again like it was haunting me. Repetitive and aggressive?? No thanks. Immediate skip, block, delete, spiritual cleanse."
46,05/09/2025 14:38,05/09/2025 14:41,anonymous,,23 - 25,Male,30 minutes to 1 hour,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional;I sometimes realize only after watching that a video is an ad",Sometimes,"No, I don’t feel misled.",Immediately once I realize it’s an ad,Always,Irrelevant topic – product/brand does not concern my interests;Length – the ad is too long;Feels like a hard sell – the ad is too aggressive;Repetitive content – the ad looks similar to others I’ve seen,Useful or relevant product information,"Yes, occasionally",I rarely engage with ads;Useful product info,4,"There was this one ad disguised as a guy ranting about being broke, and halfway through he mentions this budgeting app, but in a way that actually made sense. It didn’t feel pushy — it felt like he was just pissed off at banks and wanted to show people how to not get screwed. It was smart. I only realized it was an ad at the end, but I didn’t care. It didn’t insult my intelligence. Respect.","God. This one guy popped up yelling “GUYS. THIS IS THE ONLY PRODUCT YOU NEED.” He was standing in a gym, shirtless, shoving some supplement bottle in the camera like it was the Holy Grail. Just peak try-hard energy. Not only was it obnoxious, it felt like it was made by an AI trained on bro quotes and protein powder. Absolutely no originality. Skipped it mid-sentence."
47,05/09/2025 16:24,05/09/2025 16:26,anonymous,,23 - 25,Female,1 - 2 hours,"""Sponsored"" label;I sometimes realize only after watching that a video is an ad",Sometimes,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,I skip all ads automatically,probably not knowing its an add,"Yes, occasionally",I rarely engage with ads,3,i dont remember,any add that looks like a normal tiktok is annoying
48,05/09/2025 16:37,05/09/2025 16:39,anonymous,,20 - 22,Male,Less than 30 minutes,"""Sponsored"" label",Sometimes,"No, I don’t feel misled.",Immediately once I realize it’s an ad,Always,I skip all ads automatically,"Entertaining content (humour, visuals)",No,Humour/entertainment value;I rarely engage with ads;Relatable content,3,"Add that sponsored my favourite games, as I like playing them and I like them so the visuals and the feeling behind the add was something that I liked and didn’t feel like wasting time ",Too loud noises and being completely irrelevant and far away from my interests and feed that I wanted to watch 
49,05/09/2025 20:32,05/09/2025 20:36,anonymous,,23 - 25,Female,More than 2 hours,"""Sponsored"" label;Unusual call-to-action (e.g., ""Shop now"");Content feels overly promotional;I sometimes realize only after watching that a video is an ad",Often,"Yes, I feel misled and it negatively affects my perception of the ad.",Immediately once I realize it’s an ad,Always,Repetitive content – the ad looks similar to others I’ve seen,"Entertaining content (humour, visuals)",No,I rarely engage with ads,2,"It was of a makeup product, what made it stand out was the genuine emotions of the person talking and conving that the product was good",No emotions of a person in the ad
